Aeropuerto Base;latitude_deg;longitude_deg
A CORUÑA;43.45399;-7.85429
ADOLFO SUÁREZ MADRID-BARAJAS;40.493407;-3.572249
AEROPUERTO INTL. REGIÓN MURCIA;37.802852;-1.124884
ALBACETE;38.948502;-1.86352
ALGECIRAS /HELIPUERTO;36.12882;-5.441079
ALICANTE-ELCHE MIGUEL HDEZ.;38.2822;-0.558156
ALMERÍA;36.843899;-2.3701
ASTURIAS;43.563599;-6.03462
BADAJOZ;38.8913;-6.82133
BARCELONA-EL PRAT J.T.;41.2971;2.07846
BILBAO;43.301102;-2.91061
BURGOS;42.357601;-3.62076
CEUTA /HELIPUERTO;35.892657;-5.306321
CÓRDOBA;37.841999;-4.84888
EL HIERRO;27.8148;-17.8871
FGL GRANADA-JAÉN;37.188702;-3.77736
FUERTEVENTURA;28.4527;-13.8638
GIRONA-COSTA BRAVA;41.904639;2.761774
GRAN CANARIA;27.9319;-15.3866
HUESCA-PIRINEOS;42.076099;-0.316667
IBIZA;38.872898;1.37312
JEREZ DE LA FRONTERA;36.744598;-6.06011
LA GOMERA;28.0296;-17.2146
LA PALMA;28.626499;-17.7556
LANZAROTE CÉSAR MANRIQUE;28.945499;-13.6052
LEÓN;42.590709;-5.653406
LOGROÑO;42.460953;-2.322235
MADRID-CUATRO VIENTOS;40.370701;-3.78514
MADRID-TORREJÓN;40.487875;-3.456808
MELILLA;35.2798;-2.95626
MENORCA;39.862598;4.21865
MURCIA-SAN JAVIER;37.775002;-0.812389
MÁLAGA-COSTA DEL SOL;36.6749;-4.49911
PALMA DE MALLORCA;39.551701;2.73881
PAMPLONA;42.77;-1.64633
REUS;41.147509;1.168354
SABADELL;41.520901;2.10508
SALAMANCA;40.952099;-5.50199
SAN SEBASTIÁN;43.356499;-1.79061
SANTIAGO-ROSALÍA DE CASTRO;42.896301;-8.41514
SEVE BALLESTEROS-SANTANDER;43.427101;-3.82001
SEVILLA;37.417999;-5.89311
SON BONET;39.5989;2.70278
TENERIFE NORTE-C. LA LAGUNA;28.482752;-16.341707
TENERIFE SUR;28.0445;-16.5725
VALENCIA;39.489162;-0.480961
VALLADOLID;41.7061;-4.85194
VIGO;42.2318;-8.62677
VITORIA;42.882801;-2.72447
ZARAGOZA;41.666199;-1.04155
